Image Name,STD sigma,SNR,Voxel Size (mm),Best Scale (mm)
10_PCB_002.nii.gz_noise_8.nii.gz,1635.3000419303894,2.5450611611890697,1.0,0.7420569
10_PCB_002.nii.gz_noise_9.nii.gz,1844.4216795588582,2.3653498399237622,1.0,0.7420569
10_PCB_002.nii.gz_noise_10.nii.gz,2009.348494417286,2.2712659621543017,1.0,0.7525084
10_PCB_002.nii.gz_noise_1.nii.gz,202.70480715793485,15.57902901093834,1.0,0.15050167
10_PCB_002.nii.gz_noise_2.nii.gz,400.75323087579284,8.07401281201824,1.0,0.20066889
10_PCB_002.nii.gz_noise_3.nii.gz,610.3970269006746,5.4752287981255465,1.0,0.5518394
10_PCB_002.nii.gz_noise_4.nii.gz,818.7862003114071,4.24119661036748,1.0,0.61872905
10_PCB_002.nii.gz_noise_5.nii.gz,1000.8779270280731,3.6232349324724904,1.0,0.7357859
10_PCB_002.nii.gz_noise_6.nii.gz,1211.3725386893743,3.132094901804223,1.0,0.74250834
10_PCB_002.nii.gz_noise_7.nii.gz,1396.529163382025,2.8397097658138,1.0,0.7525307
10_PCB_002.nii.gz_noise_8.nii.gz,1635.3000419303894,2.5450611611890697,1.0,0.7592307
10_PCB_002.nii.gz_noise_9.nii.gz,1844.4216795588582,2.3653498399237622,1.0,0.7792317
10_PCB_002.nii.gz_noise_10.nii.gz,2009.348494417286,2.2712659621543017,1.0,0.8197507
15_PCB_002.nii.gz_noise_0.nii.gz,0.0,inf,1.5,0.7257525
15_PCB_002.nii.gz_noise_1.nii.gz,209.1498848916199,14.971510706313541,1.5,0.7153335
15_PCB_002.nii.gz_noise_2.nii.gz,434.70353328791447,7.382952164309577,1.5,0.7257525
15_PCB_002.nii.gz_noise_3.nii.gz,601.9862577001525,5.510622946134192,1.5,0.80100334
15_PCB_002.nii.gz_noise_4.nii.gz,796.6859150886417,4.3344882471864015,1.5,0.80100334
15_PCB_002.nii.gz_noise_5.nii.gz,1002.0465467359362,3.603840699902718,1.5,0.82608694
15_PCB_002.nii.gz_noise_6.nii.gz,1213.4361858496375,3.1021699556459543,1.5,0.82608694
15_PCB_002.nii.gz_noise_7.nii.gz,1349.680666864282,2.929634239757746,1.5,0.85117054
15_PCB_002.nii.gz_noise_8.nii.gz,1739.9335777864276,2.3744168908105725,1.5,0.85117054
15_PCB_002.nii.gz_noise_9.nii.gz,2087.5413672649242,2.0783865091155294,1.5,0.9264214
15_PCB_002.nii.gz_noise_10.nii.gz,1965.566650204505,2.3165338532975377,1.5,0.9531772
PCB_003.nii.gz_noise_0.nii.gz,0.0,inf,0.8,0.36311516
PCB_003.nii.gz_noise_1.nii.gz,203.27355556844327,11.509250108695074,0.8,0.38222647
PCB_003.nii.gz_noise_2.nii.gz,407.82723729040976,5.994650724834825,0.8,0.46244625
PCB_003.nii.gz_noise_3.nii.gz,612.1326748322484,4.214486587853796,0.8,0.5446727
PCB_003.nii.gz_noise_4.nii.gz,808.0389145357459,3.3911247573865477,0.8,0.5542284
PCB_003.nii.gz_noise_5.nii.gz,1010.2782273669529,2.8909784946621775,0.8,0.56378406
PCB_003.nii.gz_noise_6.nii.gz,1204.3451341591708,2.5865476014350715,0.8,0.58326462
PCB_003.nii.gz_noise_7.nii.gz,1406.7480624394593,2.354788611913404,0.8,0.621118
PCB_003.nii.gz_noise_8.nii.gz,1587.4699314342877,2.2186161302731153,0.8,0.67845196
PCB_003.nii.gz_noise_9.nii.gz,1816.3396256305978,2.0607262531676662,0.8,0.68756285
PCB_003.nii.gz_noise_10.nii.gz,2000.458375276381,1.9857347340971274,0.8,0.69756331
PCB_003.nii.gz_noise_0.nii.gz,0.0,inf,0.8,0.3076923
PCB_003.nii.gz_noise_1.nii.gz,203.27355556844327,11.509250108695074,0.8,0.31438127
PCB_003.nii.gz_noise_2.nii.gz,407.82723729040976,5.994650724834825,0.8,0.3876254
PCB_003.nii.gz_noise_3.nii.gz,612.1326748322484,4.214486587853796,0.8,0.49498326
PCB_003.nii.gz_noise_4.nii.gz,808.0389145357459,3.3911247573865477,0.8,0.5016714
PCB_003.nii.gz_noise_5.nii.gz,1010.2782273669529,2.8909784946621775,0.8,0.5216662
PCB_003.nii.gz_noise_6.nii.gz,1204.3451341591708,2.5865476014350715,0.8,0.55518395
PCB_003.nii.gz_noise_7.nii.gz,1406.7480624394593,2.354788611913404,0.8,0.6220736
PCB_003.nii.gz_noise_8.nii.gz,1587.4699314342877,2.2186161302731153,0.8,0.6622073
PCB_003.nii.gz_noise_9.nii.gz,1816.3396256305978,2.0607262531676662,0.8,0.6688963
PCB_003.nii.gz_noise_10.nii.gz,2000.458375276381,1.9857347340971274,0.8,0.71571904
10_PCB_003.nii.gz_noise_0.nii.gz,0.0,inf,1.0,0.32608694
10_PCB_003.nii.gz_noise_1.nii.gz,199.29773264203848,11.718113216473776,1.0,0.33444816
10_PCB_003.nii.gz_noise_2.nii.gz,400.9703130855494,6.084253678250772,1.0,0.54347825
10_PCB_003.nii.gz_noise_3.nii.gz,599.4565077135161,4.294113257188869,1.0,0.6020067
10_PCB_003.nii.gz_noise_4.nii.gz,806.7156311561437,3.3906834443796043,1.0,0.6020067
10_PCB_003.nii.gz_noise_5.nii.gz,1019.6994294783655,2.854369027371406,1.0,0.6605351
10_PCB_003.nii.gz_noise_6.nii.gz,1204.8406912475934,2.57400220807583,1.0,0.75250834
10_PCB_003.nii.gz_noise_7.nii.gz,1447.2220867378326,2.284318711895152,1.0,0.7943143
10_PCB_003.nii.gz_noise_8.nii.gz,1602.0786010783445,2.1947166017631763,1.0,0.8193979
10_PCB_003.nii.gz_noise_9.nii.gz,1764.7410402049793,2.11907240326883,1.0,0.83267555
10_PCB_003.nii.gz_noise_10.nii.gz,1972.7715958300303,2.0103594315107656,1.0,0.9531772
15_PCB_003.nii.gz_noise_0.nii.gz,0.0,inf,1.5,0.7267558
